SMILES,Activity
Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,4.751361255
Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,6.328570011
Clc1ccc2[nH]cc(/C=C/c3cccnc3)c2c1,5
Clc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,5.301029996
Clc1cccc2c(/C=C/c3cccnc3)c[nH]c12,4.387216143
c1ccc(-c2cnn[nH]2)cc1,4
Fc1ccc(-c2cnn[nH]2)cc1,4
Clc1cccc(-c2c[nH]nn2)c1,4
Brc1cccc(-c2c[nH]nn2)c1,4
N#Cc1cccc(-c2c[nH]nn2)c1,4
FC(F)(F)c1cccc(-c2c[nH]nn2)c1,4
CCc1cccc(-c2c[nH]nn2)c1,4
O=[N+]([O-])c1cccc(-c2c[nH]nn2)c1,4
Cc1cccc(-c2c[nH]nn2)c1,4
Fc1cccc(-c2c[nH]nn2)c1,4
Oc1cccc(-c2c[nH]nn2)c1,4
Nc1cccc(-c2c[nH]nn2)c1,4
Clc1cc(-c2c[nH]nn2)ccn1,4
Brc1cc(-c2c[nH]nn2)ccn1,4
Fc1cc(-c2c[nH]nn2)ccn1,4
FC(F)(F)c1cc(-c2c[nH]nn2)ccn1,4
Brc1ccccc1-c1cnn[nH]1,4
Oc1ccccc1-c1c[nH]nn1,4
Clc1ccccc1-c1cnn[nH]1,4
Cc1ccccc1-c1c[nH]nn1,4
Nc1ccccc1-c1c[nH]nn1,4
Fc1ccccc1-c1c[nH]nn1,4
CCc1ccccc1-c1c[nH]nn1,4
FC(F)(F)c1ccccc1-c1c[nH]nn1,4
COc1ccccc1-c1c[nH]nn1,4
Oc1ccc(Cl)cc1-c1c[nH]nn1,4
Cc1ccc(Cl)cc1-c1c[nH]nn1,4
Clc1ccc(Cl)c(-c2c[nH]nn2)c1,4
Clc1cccc(-c2c[nH]nn2)c1Cl,4
Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,5.152248478
OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,6.405239247
O=C(CC1c2ccccc2-c2cncn21)C1CCCCC1,6
Cc1ccc(-c2csc3nnc(SCC(=O)Nc4ccc5c(c4)OCO5)n23)cc1,4.204119983
O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Cl)c1,6.147825096
Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,6.251037139
O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(F)cc1,5.131943638
Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,5.963371105
O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Br)c1,6.11463878
O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Br)cc1,5.799696817
O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Cl)cc1,5.189767482
Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,5.758204569
O=C(O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,6.777283529
O=C(O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,6.505845406
CCN(CC)C(=O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,7.045757491
CCN(CC)C(=O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,6.742321425
CC(=O)N1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,7.229147988
O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(C(=O)N2CCOCC2)c1,7.318758763
